junctionid,vehicleid,turn,priority,arrivaltime,departuretime,delay
MaryRosslandJuction,veh_852,left,1,114000000000,710000000000,596.0
MaryRosslandJuction,veh_853,straight,1,115000000000,729000000000,614.0
MaryRosslandJuction,veh_854,straight,1,167000000000,1061000000000,894.0
MaryRosslandJuction,veh_855,right,1,168000000000,872000000000,704.0
MaryRosslandJuction,veh_856,left,1,170000000000,1046000000000,876.0
MaryRosslandJuction,veh_857,straight,1,171000000000,1063000000000,892.0
MaryRosslandJuction,veh_858,right,1,610000000000,1034000000000,424.0
MaryRosslandJuction,veh_86,straight,1,14000000000,154000000000,140.0
MaryRosslandJuction,veh_860,left,1,620000000000,682000000000,62.0
MaryRosslandJuction,veh_866,right,1,1333000000000,1788000000000,455.0
MaryRosslandJuction,veh_87,right,1,16000000000,158000000000,142.0
MaryRosslandJuction,veh_870,straight,1,2770000000000,2818000000000,48.0
MaryRosslandJuction,veh_874,left,1,531000000000,1709000000000,1178.0
MaryRosslandJuction,veh_877,straight,1,564000000000,1082000000000,518.0
MaryRosslandJuction,veh_878,left,1,593000000000,1576000000000,983.0
MaryRosslandJuction,veh_879,right,1,599000000000,882000000000,283.0
MaryRosslandJuction,veh_88,left,1,18000000000,80000000000,62.0
MaryRosslandJuction,veh_882,left,1,116000000000,774000000000,658.0
MaryRosslandJuction,veh_883,right,1,117000000000,617000000000,500.0
MaryRosslandJuction,veh_884,left,1,118000000000,782000000000,664.0
MaryRosslandJuction,veh_885,straight,1,119000000000,727000000000,608.0
MaryRosslandJuction,veh_886,straight,1,172000000000,1070000000000,898.0
MaryRosslandJuction,veh_887,right,1,173000000000,879000000000,706.0
MaryRosslandJuction,veh_888,left,1,175000000000,1051000000000,876.0
MaryRosslandJuction,veh_889,straight,1,177000000000,1071000000000,894.0
MaryRosslandJuction,veh_89,straight,1,19000000000,153000000000,134.0
MaryRosslandJuction,veh_890,right,1,379000000000,738000000000,359.0
MaryRosslandJuction,veh_892,left,1,622000000000,684000000000,62.0
MaryRosslandJuction,veh_898,right,1,1340000000000,1790000000000,450.0
MaryRosslandJuction,veh_9,left,1,81000000000,130000000000,49.0
MaryRosslandJuction,veh_90,right,1,63000000000,122000000000,59.0
MaryRosslandJuction,veh_902,straight,1,2777000000000,2825000000000,48.0
MaryRosslandJuction,veh_906,left,1,566000000000,1540000000000,974.0
MaryRosslandJuction,veh_909,straight,1,573000000000,873000000000,300.0
MaryRosslandJuction,veh_910,left,1,602000000000,1736000000000,1134.0
MaryRosslandJuction,veh_911,right,1,609000000000,888000000000,279.0
MaryRosslandJuction,veh_914,left,1,120000000000,790000000000,670.0
MaryRosslandJuction,veh_915,right,1,121000000000,727000000000,606.0
MaryRosslandJuction,veh_916,left,1,122000000000,800000000000,678.0
MaryRosslandJuction,veh_917,straight,1,123000000000,731000000000,608.0
MaryRosslandJuction,veh_918,straight,1,178000000000,882000000000,704.0
MaryRosslandJuction,veh_919,right,1,179000000000,887000000000,708.0
MaryRosslandJuction,veh_92,left,1,65000000000,214000000000,149.0
MaryRosslandJuction,veh_920,left,1,181000000000,1053000000000,872.0
MaryRosslandJuction,veh_921,straight,1,183000000000,1079000000000,896.0
MaryRosslandJuction,veh_922,right,1,628000000000,1044000000000,416.0
MaryRosslandJuction,veh_924,left,1,368000000000,430000000000,62.0
MaryRosslandJuction,veh_930,right,1,1342000000000,1798000000000,456.0
MaryRosslandJuction,veh_934,straight,1,2866000000000,2915000000000,49.0
MaryRosslandJuction,veh_938,left,1,531000000000,1530000000000,999.0
MaryRosslandJuction,veh_94,right,1,80000000000,141000000000,61.0
MaryRosslandJuction,veh_941,straight,1,565000000000,1080000000000,515.0
MaryRosslandJuction,veh_942,left,1,611000000000,1595000000000,984.0
MaryRosslandJuction,veh_943,right,1,653000000000,1007000000000,354.0
MaryRosslandJuction,veh_946,left,1,124000000000,808000000000,684.0
MaryRosslandJuction,veh_947,right,1,125000000000,735000000000,610.0
MaryRosslandJuction,veh_948,left,1,126000000000,854000000000,728.0
MaryRosslandJuction,veh_949,straight,1,127000000000,737000000000,610.0
MaryRosslandJuction,veh_950,straight,1,184000000000,1080000000000,896.0
MaryRosslandJuction,veh_951,right,1,185000000000,889000000000,704.0
MaryRosslandJuction,veh_952,left,1,187000000000,1115000000000,928.0
MaryRosslandJuction,veh_953,straight,1,188000000000,1132000000000,944.0
MaryRosslandJuction,veh_954,right,1,405000000000,824000000000,419.0
MaryRosslandJuction,veh_956,left,1,377000000000,438000000000,61.0
MaryRosslandJuction,veh_962,right,1,2698000000000,2746000000000,48.0
MaryRosslandJuction,veh_966,straight,1,2887000000000,2937000000000,50.0
MaryRosslandJuction,veh_970,left,1,576000000000,1753000000000,1177.0
MaryRosslandJuction,veh_973,straight,1,621000000000,1152000000000,531.0
MaryRosslandJuction,veh_974,left,1,656000000000,2328000000000,1672.0
MaryRosslandJuction,veh_975,right,1,662000000000,1058000000000,396.0
MaryRosslandJuction,veh_978,left,1,128000000000,900000000000,772.0
MaryRosslandJuction,veh_979,right,1,129000000000,737000000000,608.0
MaryRosslandJuction,veh_98,right,1,145000000000,198000000000,53.0
MaryRosslandJuction,veh_980,left,1,130000000000,378000000000,248.0
MaryRosslandJuction,veh_981,straight,1,131000000000,739000000000,608.0
MaryRosslandJuction,veh_982,straight,1,189000000000,1135000000000,946.0
MaryRosslandJuction,veh_983,right,1,190000000000,896000000000,706.0
MaryRosslandJuction,veh_984,left,1,192000000000,1116000000000,924.0
MaryRosslandJuction,veh_985,straight,1,194000000000,1142000000000,948.0
MaryRosslandJuction,veh_986,right,1,413000000000,828000000000,415.0
MaryRosslandJuction,veh_988,left,1,403000000000,476000000000,73.0
MaryRosslandJuction,veh_994,right,1,2706000000000,2760000000000,54.0
MaryRosslandJuction,veh_998,straight,1,2904000000000,2951000000000,47.0
